benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,k,widths
SPARSE_UNIFORM,Matryoshka_3,0,8.04275,5.00106,0,0.8767125910172933,0.7742400733500252,0.9978174567222595,0.9984567901234568,0.9474414587020874,0.7482666969299316,0.8355637788772583,0.9970840811729431,Matryoshka,5,3-level
SPARSE_UNIFORM,Matryoshka_4,0,8.0294,5.97909,0,0.8850472325572092,0.7896322853260409,0.9926341772079468,0.9922839506172839,0.795556902885437,0.7824025750160217,0.7841866612434387,0.9965751767158508,Matryoshka,6,3-level
SPARSE_UNIFORM,Matryoshka_5,0,8.00427,6.95497,0,0.8896773199407888,0.7999821306557071,0.9833375215530396,0.9783950617283951,0.7042731046676636,0.779532790184021,0.7313770651817322,0.9947425127029419,Matryoshka,7,3-level
SPARSE_UNIFORM,Matryoshka_6,0,8.02469,8.01907,0,0.8953270493483892,0.8083112798532572,0.9685540795326233,0.9660493827160493,0.6341385841369629,0.7743237614631653,0.6826397776603699,0.9932132959365845,Matryoshka,8,3-level
SPARSE_UNIFORM,Matryoshka_7,0,8.04002,9.02831,0,0.8998503257890947,0.8139418351622351,0.9602689743041992,0.9521604938271605,0.5899201035499573,0.7677402496337891,0.649734616279602,0.9913974404335022,Matryoshka,9,3-level
SPARSE_UNIFORM,Matryoshka_8,0,8.02932,9.99726,0,0.9023056970365259,0.8172388106319025,0.9448190331459045,0.9305555555555556,0.5643433332443237,0.7521959543228149,0.6244557499885559,0.9891760349273682,Matryoshka,10,3-level
SPARSE_UNIFORM,Matryoshka_9,0,8.03574,11.03224,0,0.9037666908381676,0.8195434682802605,0.9333169460296631,0.9151234567901234,0.5292397141456604,0.7374710440635681,0.5943211913108826,0.9872132539749146,Matryoshka,11,3-level
SPHERICAL,Matryoshka_0,0,8.08018,1.99918,101,0.8257614192557152,0.7827303131132852,0.675442636013031,0.8966049382716049,0.7832730412483215,0.44773051142692566,0.5552974939346313,0.9962538480758667,Matryoshka,2,3-level
SPHERICAL,Matryoshka_1,0,8.06349,2.98778,0,0.8904087094255773,0.8430757011935889,0.7482007145881653,0.9953703703703703,0.8765758275985718,0.6142247319221497,0.6961089968681335,0.9968097805976868,Matryoshka,3,3-level
SPHERICAL,Matryoshka_2,0,8.04369,3.97763,0,0.8998846213038778,0.8556761140227586,0.7238592505455017,0.9984567901234568,0.792484700679779,0.7043566107749939,0.7148845195770264,0.9963990449905396,Matryoshka,4,3-level
