benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,k
SPHERICAL,BatchTopK_4,0,8.04026,5.9939,0,0.9036153595417326,0.9168299420085834,0.7876545786857605,1.0,0.6061693429946899,0.8785457015037537,0.7124450206756592,0.9954519271850586,BatchTopK,6
SPHERICAL,BatchTopK_5,0,8.07052,7.01873,0,0.9024311601817381,0.9194844993189155,0.7816060185432434,0.9953703703703703,0.5308294296264648,0.8935347199440002,0.661060631275177,0.9940707087516785,BatchTopK,7
SPHERICAL,BatchTopK_6,0,8.05677,7.98158,0,0.9011663895394809,0.9211798491491286,0.7729666233062744,0.9969135802469136,0.4738538861274719,0.9055154323577881,0.6171866655349731,0.9927243590354919,BatchTopK,8
SPHERICAL,BatchTopK_7,0,8.05816,9.00124,0,0.9010086164186125,0.9231528923519087,0.7725016474723816,1.0,0.42677974700927734,0.9160943031311035,0.5774804353713989,0.9912885427474976,BatchTopK,9
SPHERICAL,BatchTopK_8,0,8.07417,9.97269,0,0.8991886643242539,0.9246003206558188,0.7629309296607971,0.9984567901234568,0.3891548216342926,0.9195024371147156,0.5421164035797119,0.9898450970649719,BatchTopK,10
SPHERICAL,BatchTopK_9,0,8.06604,10.95391,0,0.8972536457082232,0.9256777043878516,0.7598819732666016,0.9984567901234568,0.3547607660293579,0.9240921139717102,0.5086830258369446,0.9883754253387451,BatchTopK,11
TORUS,BatchTopK_0,0,8.0016,1.9966,100,0.8168026811971113,0.80479587643992,0.6890179514884949,0.8842592592592593,0.7965558171272278,0.4678056538105011,0.5877495408058167,0.9965227842330933,BatchTopK,2
TORUS,BatchTopK_1,0,7.9912,2.98831,0,0.8892326570189653,0.8792794323652793,0.7991946935653687,1.0,0.8982535600662231,0.6645642518997192,0.7611551880836487,0.9974192976951599,BatchTopK,3
TORUS,BatchTopK_2,0,7.99836,3.99501,0,0.9004121531736982,0.8970572618613362,0.7964907288551331,1.0,0.7951023578643799,0.7791671752929688,0.7829045057296753,0.9972854256629944,BatchTopK,4
TORUS,BatchTopK_3,0,7.99042,5.00212,0,0.8999349205793507,0.9042341651416507,0.790607213973999,1.0,0.6870476007461548,0.8391910791397095,0.7506029009819031,0.9964665770530701,BatchTopK,5
TORUS,BatchTopK_4,0,8.00159,5.99866,0,0.8972093637477495,0.9091489298838147,0.7846813201904297,0.9984567901234568,0.5939881801605225,0.8662989139556885,0.6996917128562927,0.9952641129493713,BatchTopK,6
TORUS,BatchTopK_5,0,7.99218,7.00819,0,0.896000484496124,0.9115043391119625,0.7809814810752869,0.9984567901234568,0.5208719968795776,0.8851923942565918,0.650886058807373,0.993934154510498,BatchTopK,7
TORUS,BatchTopK_6,0,8.00043,8.01007,0,0.8929389089895282,0.91390300521205,0.7725933790206909,0.9984567901234568,0.4627109169960022,0.8972889184951782,0.6058996319770813,0.9925379157066345,BatchTopK,8
TORUS,BatchTopK_7,0,8.00324,9.03449,0,0.8927667362708812,0.9156237024260216,0.7667641639709473,0.9969135802469136,0.4151650071144104,0.9017600417137146,0.5638766884803772,0.9910205602645874,BatchTopK,9
TORUS,BatchTopK_8,0,8.00048,10.02372,0,0.8927583671754656,0.9174218789954895,0.7676532864570618,0.9984567901234568,0.3801795244216919,0.9124705195426941,0.5320817828178406,0.9896292090415955,BatchTopK,10
