benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,l1_coefficient
DAG_RANDOM_WALK,Standard_5,0,8.05834,9.0939,0,0.637003046875,0.7417648236713392,0.9029718041419983,0.941358024691358,0.47786226868629456,0.7550281286239624,0.5490791201591492,0.988592267036438,Standard,0.25
DAG_RANDOM_WALK,Standard_6,0,8.06511,8.46071,0,0.6241711328125,0.7301435688168261,0.8945657014846802,0.9259259259259259,0.5191131830215454,0.7369579076766968,0.5734370946884155,0.9889078736305237,Standard,0.27
DAG_RANDOM_WALK,Standard_7,0,8.06308,7.8065,0,0.600416015625,0.70967285896272,0.8714467883110046,0.8981481481481481,0.5676013231277466,0.7119815945625305,0.5937566161155701,0.9890850782394409,Standard,0.3
DAG_RANDOM_WALK,Standard_8,0,8.05546,7.46426,0,0.58124953125,0.6903710218626967,0.8464368581771851,0.8595679012345679,0.6079921722412109,0.6907969117164612,0.6119977235794067,0.9892178773880005,Standard,0.33
DAG_RANDOM_WALK,Standard_9,0,8.07304,6.7002,0,0.556946171875,0.6702820845700772,0.830335259437561,0.8410493827160493,0.6549134254455566,0.6604551672935486,0.6245808601379395,0.9893384575843811,Standard,0.37
HIERARCHICAL_PAIRS,Standard_0,0,8.0158,14.32864,0,0.9715600429774971,0.7638160124301001,0.6684125065803528,0.6805555555555556,0.725250780582428,0.7185158729553223,0.6654173731803894,0.9739912152290344,Standard,0.3
HIERARCHICAL_PAIRS,Standard_1,0,8.00784,13.12342,0,0.7054321723040151,0.7234373971359098,0.6339439153671265,0.6126543209876543,0.7888473272323608,0.6622522473335266,0.6652665138244629,0.9702773690223694,Standard,0.35
HIERARCHICAL_PAIRS,Standard_10,0,8.03262,3.97144,0,0.5266126766972984,0.510800077047643,0.7012852430343628,0.5725308641975309,0.963070273399353,0.43554210662841797,0.5721679329872131,0.9825971722602844,Standard,0.88
HIERARCHICAL_PAIRS,Standard_11,0,8.00633,2.864,0,0.49546686845303256,0.4817277254992116,0.7567346692085266,0.6867283950617284,0.9612889885902405,0.4625726342201233,0.6022443771362305,0.9909124374389648,Standard,0.96
HIERARCHICAL_PAIRS,Standard_12,0,8.01144,2.4428,0,0.46723992377803886,0.4367046042027223,0.7710151672363281,0.7345679012345679,0.9619528651237488,0.47123661637306213,0.6166945099830627,0.9929943084716797,Standard,1.05
HIERARCHICAL_PAIRS,Standard_13,0,8.00571,2.13876,1,0.9743308167682835,0.39841542961392273,0.7681230902671814,0.7700617283950617,0.9699468016624451,0.4547475278377533,0.6053682565689087,0.993698000907898,Standard,1.15
HIERARCHICAL_PAIRS,Standard_14,0,7.99535,1.83378,7,0.43747496270306113,0.34744219357507244,0.7478694319725037,0.7746913580246914,0.9518398642539978,0.3954147398471832,0.5467002391815186,0.9919558167457581,Standard,1.3
HIERARCHICAL_PAIRS,Standard_15,0,8.01585,1.32068,39,0.37324759900343574,0.2593393011448931,0.7177752256393433,0.7469135802469136,0.9107323288917542,0.3039555847644806,0.4462936818599701,0.992263913154602,Standard,1.5
HIERARCHICAL_PAIRS,Standard_2,0,8.00524,12.40774,0,0.6795815111515018,0.6866331335398623,0.5986133217811584,0.5617283950617284,0.8414645791053772,0.6130039691925049,0.6565797328948975,0.9667927026748657,Standard,0.4
HIERARCHICAL_PAIRS,Standard_3,0,8.00516,11.80342,0,0.6485441050729732,0.6576908649647928,0.5771828889846802,0.5262345679012346,0.877338171005249,0.5781536102294922,0.6474996209144592,0.9656622409820557,Standard,0.45
HIERARCHICAL_PAIRS,Standard_4,0,7.99365,10.33163,0,1.0499175979407334,0.6257666470352363,0.5617259740829468,0.5,0.90565425157547,0.5353316068649292,0.6211963891983032,0.9641543030738831,Standard,0.5
HIERARCHICAL_PAIRS,Standard_5,0,8.03152,9.89652,0,1.4623121980858265,0.5906803947109005,0.5338795781135559,0.44598765432098764,0.9227704405784607,0.4927147626876831,0.5919364094734192,0.9621995687484741,Standard,0.55
HIERARCHICAL_PAIRS,Standard_6,0,8.01278,8.94176,0,2.345486616600235,0.5600394168397582,0.5325824618339539,0.42592592592592593,0.9373072981834412,0.45902934670448303,0.5669500827789307,0.9623095393180847,Standard,0.6
