benchmark,sae,seed,true_l0,sae_l0,dead_latents,shrinkage,explained_variance,mcc,uniqueness,precision,recall,f1_score,accuracy,sae_type,max_iterations
SPHERICAL,MatchingPursuit_4,0,8.04026,5.97399,0,0.9428639086868607,0.9167543914715237,0.7934221029281616,1.0,0.6228079795837402,0.8958873152732849,0.7292327880859375,0.9957032203674316,MatchingPursuit,6
SPHERICAL,MatchingPursuit_5,0,8.07052,6.94717,0,0.9466796327709059,0.921500514456003,0.787765622138977,1.0,0.5604879856109619,0.9156482815742493,0.6879178285598755,0.9944620728492737,MatchingPursuit,7
SPHERICAL,MatchingPursuit_6,0,8.05677,7.86624,0,0.9496685734017957,0.9257574052494475,0.7803307175636292,1.0,0.5137705206871033,0.9250907301902771,0.6512766480445862,0.993148684501648,MatchingPursuit,8
SPHERICAL,MatchingPursuit_7,0,8.05816,8.76508,0,0.9520784435647727,0.9291412775530924,0.7767316102981567,0.9984567901234568,0.47320079803466797,0.929565966129303,0.6165469884872437,0.9918217658996582,MatchingPursuit,9
SPHERICAL,MatchingPursuit_8,0,8.07417,9.59379,0,0.953388709120394,0.9316893997915515,0.7731990814208984,1.0,0.4440712034702301,0.9306657314300537,0.5892115831375122,0.9905681610107422,MatchingPursuit,10
SPHERICAL,MatchingPursuit_9,0,8.06604,10.4217,0,0.9537930097235567,0.933750693228694,0.7679422497749329,1.0,0.4166874885559082,0.9323362112045288,0.5634137988090515,0.9893063902854919,MatchingPursuit,11
TORUS,MatchingPursuit_0,0,8.0016,1.99447,0,0.8622605940044411,0.7990563118816818,0.7728592753410339,0.9984567901234568,0.9438480138778687,0.46786922216415405,0.6200048923492432,0.9965201616287231,MatchingPursuit,2
TORUS,MatchingPursuit_1,0,7.9912,2.97967,0,0.8985719907824191,0.8563486996497749,0.7977696061134338,1.0,0.8789833784103394,0.6486346125602722,0.7417334318161011,0.9972313642501831,MatchingPursuit,3
TORUS,MatchingPursuit_2,0,7.99836,3.97551,0,0.9188237037148173,0.8839855937171847,0.8008349537849426,1.0,0.7900748252868652,0.7708684206008911,0.7752756476402283,0.9972107410430908,MatchingPursuit,4
TORUS,MatchingPursuit_3,0,7.99042,4.97936,0,0.9301524646408066,0.8998170686874548,0.7972316145896912,1.0,0.696103036403656,0.848693311214447,0.7601072192192078,0.9966180324554443,MatchingPursuit,5
TORUS,MatchingPursuit_4,0,8.00159,5.9674,0,0.9372065819413883,0.9087330771954242,0.7925605177879333,1.0,0.613589882850647,0.8888741731643677,0.7204456925392151,0.9955889582633972,MatchingPursuit,6
TORUS,MatchingPursuit_5,0,7.99218,6.94441,0,0.9405512315578894,0.9141061736971524,0.7852920293807983,1.0,0.5476784706115723,0.9076927900314331,0.6762351393699646,0.9943093061447144,MatchingPursuit,7
TORUS,MatchingPursuit_6,0,8.00043,7.90403,0,0.9438532675554845,0.9189659517145645,0.7792064547538757,1.0,0.49873805046081543,0.917483925819397,0.6375970244407654,0.9929590225219727,MatchingPursuit,8
TORUS,MatchingPursuit_7,0,8.00324,8.83869,0,0.9458778258477544,0.9223351499180901,0.7706764340400696,1.0,0.46553558111190796,0.9192203283309937,0.6067631840705872,0.9915305972099304,MatchingPursuit,9
TORUS,MatchingPursuit_8,0,8.00048,9.65834,0,0.9484003340868626,0.9258225921918639,0.7691424489021301,1.0,0.43355315923690796,0.9245668649673462,0.5789118409156799,0.9903356432914734,MatchingPursuit,10
TORUS,MatchingPursuit_9,0,7.99951,10.49872,0,0.9500607657991078,0.9276217172743951,0.7626438736915588,0.9984567901234568,0.41004717350006104,0.9242162704467773,0.555767834186554,0.989034116268158,MatchingPursuit,11
